condition,gfp_mean_mean,gfp_mean_std,gfp_mean_count,rfp_mean_mean,rfp_mean_std,rfp_mean_count,gfp_intden_mean,gfp_intden_std,gfp_intden_count,rfp_intden_mean,rfp_intden_std,rfp_intden_count,gfp_rfp_ratio_mean,gfp_rfp_ratio_std,gfp_rfp_ratio_count
MAPK10 / Control,27.6612,2.2278,2,13.523,2.1604,2,36256125.5,2920033.5154,2,17724923.0,2831742.0413,2,2.0586,0.1641,2
MAPK10 / JNK,32.8929,14.5521,2,15.6932,4.6835,2,43113387.5,19073732.3681,2,20569402.0,6138740.4498,2,2.0489,0.3158,2
MAPK10 / SB90,22.2442,1.0102,2,9.1856,1.0729,2,29155901.0,1324031.9919,2,12039811.5,1406310.2299,2,2.4318,0.1741,2
MAPK10 / UO126,26.6484,1.1254,2,12.0911,0.5564,2,34928545.0,1475071.4146,2,15848083.5,729285.1854,2,2.2084,0.1947,2
MAPK10 / WORTMAN,24.9934,2.4049,2,11.9038,1.6426,2,32759235.0,3152205.663,2,15602573.0,2153049.639,2,2.1339,0.4965,2
MAPK10_GENTECIN / Control,24.3866,2.1169,2,11.9039,0.4828,2,31964013.5,2774710.3439,2,15602636.5,632835.8204,2,2.0539,0.2611,2
MAPK10_GENTECIN / JNK,22.9174,2.7019,2,12.1646,1.0135,2,30038272.0,3541493.4019,2,15944451.0,1328389.1839,2,1.8812,0.0654,2
MAPK10_GENTECIN / SB90,24.0844,0.1855,2,10.1118,0.2772,2,31568001.5,243064.4205,2,13253776.5,363347.5266,2,2.3825,0.047,2
MAPK10_GENTECIN / UO126,26.6388,2.0105,2,15.2099,0.9899,2,34915967.5,2635215.1465,2,19935924.5,1297535.9937,2,1.7508,0.0182,2
MAPK10_GENTECIN / WORTMAN,21.353,3.4015,2,7.2744,0.4883,2,27987714.0,4458451.091,2,9534643.5,639967.6994,2,2.9263,0.2712,2
PCAG / Control,29.9679,,1,25.8268,,1,39279540.0,,1,33851694.0,,1,1.1603,,1
