well,gfp_file,rfp_file,image_area,gfp_mean,gfp_intden,rfp_mean,rfp_intden,gfp_rfp_ratio
MAPK10_1,MAPK10_GFP_1.tif,MAPK10_RFP_1.tif,1310720,29.2365,38320901,15.0507,19727267,1.942535
MAPK10_2,MAPK10_GFP_2.tif,MAPK10_RFP_2.tif,1310720,26.0859,34191350,11.9954,15722579,2.174665
MAPK10_GENTECIN_1,MAPK10_GENTECIN_GFP_1.tif,MAPK10_GENTECIN_RFP_1.tif,1310720,22.8897,30001997,12.2453,16050119,1.869269
MAPK10_GENTECIN_2,MAPK10_GENTECIN_GFP_2.tif,MAPK10_GENTECIN_RFP_2.tif,1310720,25.8835,33926030,11.5625,15155154,2.23858
MAPK10_GENTECIN_JNK_1,MAPK10_GENTECIN_JNK_GFP_1.tif,MAPK10_GENTECIN_JNK_RFP_1.tif,1310720,21.0068,27534058,11.448,15005138,1.834975
MAPK10_GENTECIN_JNK_2,MAPK10_GENTECIN_JNK_GFP_2.tif,MAPK10_GENTECIN_JNK_RFP_2.tif,1310720,24.8279,32542486,12.8813,16883764,1.927443
MAPK10_GENTECIN_SB90_1,MAPK10_GENTECIN_SB90_GFP_1.tif,MAPK10_GENTECIN_SB90_RFP_1.tif,1310720,23.9533,31396129,9.9158,12996851,2.415672
MAPK10_GENTECIN_SB90_2,MAPK10_GENTECIN_SB90_GFP_2.tif,MAPK10_GENTECIN_SB90_RFP_2.tif,1310720,24.2156,31739874,10.3078,13510702,2.349239
MAPK10_GENTECIN_UO126_1,MAPK10_GENTECIN_UO126_GFP_1.tif,MAPK10_GENTECIN_UO126_RFP_1.tif,1310720,28.0604,36779346,15.9099,20853421,1.763708
MAPK10_GENTECIN_UO126_2,MAPK10_GENTECIN_UO126_GFP_2.tif,MAPK10_GENTECIN_UO126_RFP_2.tif,1310720,25.2171,33052589,14.5099,19018428,1.737924
MAPK10_GENTECIN_WORTMAN_1,MAPK10_GENTECIN_WORTMAN_GFP_1.tif,MAPK10_GENTECIN_WORTMAN_RFP_1.tif,1310720,18.9477,24835113,6.9291,9082118,2.734507
MAPK10_GENTECIN_WORTMAN_2,MAPK10_GENTECIN_WORTMAN_GFP_2.tif,MAPK10_GENTECIN_WORTMAN_RFP_2.tif,1310720,23.7582,31140315,7.6196,9987169,3.118032
MAPK10_JNK_1,MAPK10_JNK_GFP_1.tif,MAPK10_JNK_RFP_1.tif,1310720,22.603,29626222,12.3815,16228657,1.82555
MAPK10_JNK_2,MAPK10_JNK_GFP_2.tif,MAPK10_JNK_RFP_2.tif,1310720,43.1828,56600553,19.0049,24910147,2.272189
MAPK10_SB90_1,MAPK10_SB90_GFP_1.tif,MAPK10_SB90_RFP_1.tif,1310720,22.9585,30092133,9.9443,13034223,2.308702
MAPK10_SB90_2,MAPK10_SB90_GFP_2.tif,MAPK10_SB90_RFP_2.tif,1310720,21.5299,28219669,8.427,11045400,2.55488
MAPK10_UO126_1,MAPK10_UO126_GFP_1.tif,MAPK10_UO126_RFP_1.tif,1310720,25.8526,33885512,12.4846,16363766,2.070765
MAPK10_UO126_2,MAPK10_UO126_GFP_2.tif,MAPK10_UO126_RFP_2.tif,1310720,27.4441,35971578,11.6977,15332401,2.346115
MAPK10_WORTMAN_1,MAPK10_WORTMAN_GFP_1.tif,MAPK10_WORTMAN_RFP_1.tif,1310720,23.2928,30530289,13.0653,17125009,1.78279
MAPK10_WORTMAN_2,MAPK10_WORTMAN_GFP_2.tif,MAPK10_WORTMAN_RFP_2.tif,1310720,26.6939,34988181,10.7423,14080137,2.484932
PCAG,PCAG_GFP.tif,PCAG_RFP.tif,1310720,29.9679,39279540,25.8268,33851694,1.160342
